poll_link_1,poll_link_1/_text,poll_link_1/_title,poll_link_2,poll_link_2/_text,poll_link_2/_title,date_value,year_value,trump_value,carson_value,cruz_value,rubio_value,bush_number,fiorina_value,christie_number,kasich_value,huckabee_value,paul_number,pataki_value,graham_value,santorum_value,spread_value
http://www.cbsnews.com/news/poll-donald-trump-top-ted-cruz-second-hillary-clinton-over-bernie-sanders/,CBS/NY Times,,http://www.cbsnews.com/news/poll-donald-trump-top-ted-cruz-second-hillary-clinton-over-bernie-sanders/,CBS/NY Times,,12/4 - 12/8,2015,35,13,16,9,3,1,3,3,3,4,0,0,0,Trump +19
http://www.usatoday.com/story/news/politics/elections/2015/12/08/poll-trump-cruz-rubio-clinton-sanders/76948760/,USA Today/Suffolk,,http://www.usatoday.com/story/news/politics/elections/2015/12/08/poll-trump-cruz-rubio-clinton-sanders/76948760/,USA Today,,12/2 - 12/6,2015,27,10,17,16,4,1,2,2,1,2,0,0,1,Trump +10
http://news.investors.com/ibd-editorials-polls/120715-784022-trump-leads-gop-carson-tied-with-rubio-cruz-ibd-tipp-poll.htm?p=full,IBD/TIPP,,http://news.investors.com/ibd-editorials-polls/120715-784022-trump-leads-gop-carson-tied-with-rubio-cruz-ibd-tipp-poll.htm?p=full,IBD/TIPP,,11/30 - 12/4,2015,27,15,13,14,3,3,2,2,2,2,0,0,0,Trump +12
http://i2.cdn.turner.com/cnn/2015/images/12/04/cnnorc12042015gopprimarypoll.pdf,CNN/ORC,,http://i2.cdn.turner.com/cnn/2015/images/12/04/cnnorc12042015gopprimarypoll.pdf,CNN/ORC,,11/27 - 12/1,2015,36,14,16,12,3,3,4,2,2,1,0,0,0,Trump +20
http://www.quinnipiac.edu/images/polling/us/us12022015_U45hkpp.pdf,Quinnipiac,,http://www.quinnipiac.edu/images/polling/us/us12022015_U45hkpp.pdf,Quinnipiac,,11/23 - 11/30,2015,27,16,16,17,5,3,2,2,1,2,0,0,0,Trump +10
http://www.foxnews.com/politics/interactive/2015/11/20/fox-news-poll-2016-matchups-syrian-refugees/,FOX News,,http://www.foxnews.com/politics/interactive/2015/11/20/fox-news-poll-2016-matchups-syrian-refugees/,FOX News,,11/16 - 11/19,2015,28,18,14,14,5,3,3,2,3,2,1,0,0,Trump +10
http://www.langerresearch.com/wp-content/uploads/1173a22016Election.pdf,ABC/Wash Post,,http://www.langerresearch.com/wp-content/uploads/1173a22016Election.pdf,ABC/WP,,11/16 - 11/19,2015,32,22,8,11,6,4,2,3,3,3,0,1,1,Trump +10
http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_111915.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_111915.pdf,PPP (D),,11/16 - 11/17,2015,26,19,14,13,5,4,3,3,4,2,1,1,0,Trump +7
https://www.scribd.com/doc/290373723/Bloomberg-Politics-National-Poll-GOP-Nov-19-2015,Bloomberg,,https://www.scribd.com/doc/290373723/Bloomberg-Politics-National-Poll-GOP-Nov-19-2015,Bloomberg,,11/15 - 11/17,2015,24,20,9,12,6,3,4,3,3,3,1,1,1,Trump +4
http://www.foxnews.com/politics/interactive/2015/11/04/fox-poll-gop-nomination-race-coming-into-focus/,FOX News,,http://www.foxnews.com/politics/interactive/2015/11/04/fox-poll-gop-nomination-race-coming-into-focus/,FOX News,,11/1 - 11/3,2015,26,23,11,11,4,3,2,4,4,4,0,0,0,Trump +3
http://www.mcclatchydc.com/news/politics-government/election/article43495575.html,McClatchy/Marist,,http://www.mcclatchydc.com/news/politics-government/election/article43495575.html,McClatchy,,10/29 - 11/4,2015,23,24,8,12,8,3,2,4,3,5,1,0,1,Carson +1
http://www.quinnipiac.edu/images/polling/us/us11042015_xsq33a.pdf,Quinnipiac,,http://www.quinnipiac.edu/images/polling/us/us11042015_xsq33a.pdf,Quinnipiac,,10/29 - 11/2,2015,24,23,13,14,4,3,3,3,1,2,0,0,1,Trump +1
http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15463%20NBCWSJ%20Late%20October%20Poll%2011-3-15%20Release.pdf,NBC/WSJ,,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/15463%20NBCWSJ%20Late%20October%20Poll%2011-3-15%20Release.pdf,NBC/WSJ,,10/25 - 10/29,2015,23,29,10,11,8,3,3,3,3,2,0,0,0,Carson +6
http://news.investors.com/ibd-editorials-polls/103015-778378-donald-trump-leads-ben-carson-second-in-ibd-tipp-poll.htm?ref=HPLNews,IBD/TIPP,,http://news.investors.com/ibd-editorials-polls/103015-778378-donald-trump-leads-ben-carson-second-in-ibd-tipp-poll.htm?ref=HPLNews,IBD/TIPP,,10/24 - 10/29,2015,28,23,6,11,6,3,1,1,1,2,0,0,1,Trump +5
http://www.cbsnews.com/news/cbsnyt-poll-ben-carson-edges-out-donald-trump/,CBS/NY Times,,http://www.cbsnews.com/news/cbsnyt-poll-ben-carson-edges-out-donald-trump/,CBS/NYT,,10/21 - 10/25,2015,22,26,4,8,7,7,1,4,4,4,0,2,1,Carson +4
http://www.nbcnews.com/meet-the-press/poll-trump-hits-highest-mark-yet-carson-close-behind-n447291,NBC/WSJ,,http://www.nbcnews.com/meet-the-press/poll-trump-hits-highest-mark-yet-carson-close-behind-n447291,NBC/WSJ,,10/15 - 10/18,2015,25,22,9,13,8,7,1,3,3,2,0,0,0,Trump +3
http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/1c284c69-c5e0-4498-bd3b-797b7ba1be54.pdf,Monmouth,,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/1c284c69-c5e0-4498-bd3b-797b7ba1be54.pdf,Monmouth,,10/15 - 10/18,2015,28,18,10,6,5,6,3,1,4,4,0,1,0,Trump +10
http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-oct-15-18-2015/1852/,ABC/Wash Post,,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-oct-15-18-2015/1852/,ABC/WP,,10/15 - 10/18,2015,32,22,6,10,7,5,3,2,3,2,1,1,0,Trump +10
http://i2.cdn.turner.com/cnn/2015/images/10/19/rel11b.-.republicans.pdf,CNN/ORC,,http://i2.cdn.turner.com/cnn/2015/images/10/19/rel11b.-.republicans.pdf,CNN/ORC,,10/14 - 10/17,2015,27,22,4,8,8,4,4,3,5,5,0,1,2,Trump +5
http://www.foxnews.com/politics/interactive/2015/10/13/fox-news-poll-carson-giving-trump-run-for-his-money/,FOX News,,http://www.foxnews.com/politics/interactive/2015/10/13/fox-news-poll-carson-giving-trump-run-for-his-money/,FOX News,,10/10 - 10/12,2015,24,23,10,9,8,5,1,1,5,3,1,0,0,Trump +1
http://www.cbsnews.com/news/poll-trump-still-leads-carson-in-second/,CBS News,,http://www.cbsnews.com/news/poll-trump-still-leads-carson-in-second/,CBS News,,10/4 - 10/8,2015,27,21,9,8,6,6,3,2,2,4,0,0,1,Trump +6
http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NationalGOP_100615.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NationalGOP_100615.pdf,PPP (D),,10/1 - 10/4,2015,27,17,7,13,10,6,2,4,4,2,1,1,2,Trump +10
http://news.investors.com/ibd-editorials-polls/100215-773897-donald-trump-trails-ben-carson-in-ibd-tipp-poll.htm,IBD/TIPP,,http://news.investors.com/ibd-editorials-polls/100215-773897-donald-trump-trails-ben-carson-in-ibd-tipp-poll.htm,IBD/TIPP,,9/26 - 10/1,2015,17,24,6,11,8,9,2,4,2,3,0,0,0,Carson +7
http://www.suffolk.edu/documents/SUPRC/9_30_2015_marginals.pdf,USAT/Suffolk,,http://www.suffolk.edu/documents/SUPRC/9_30_2015_marginals.pdf,USA Today,,9/24 - 9/28,2015,23,13,6,9,8,13,1,2,2,2,0,1,0,Trump +10
http://www.people-press.org/files/2015/10/10-02-2015-2016-topline-for-release1.pdf,Pew Research*,,http://www.people-press.org/files/2015/10/10-02-2015-2016-topline-for-release1.pdf,Pew*,,9/22 - 9/27,2015,25,16,6,8,4,8,1,1,2,2,0,1,0,Trump +9
